"Start Time (UTC)","End Time (UTC)","Duration (min)","Min (km)","Max (km)","Conjunction Type","Conjunction Between"
"2022-03-05  11:50","2022-03-05  11:52","3","879","994","nbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2022-03-05  11:50","2022-03-05  11:51","2","888","933","geographic","THEMIS-ASI ATHA and ELFIN-A"
"2022-03-05  11:51","2022-03-05  11:52","2","937","998","sbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2022-03-05  12:27","2022-03-05  12:30","4","292","664","nbtrace","THEMIS-ASI ATHA and ELFIN-B"
"2022-03-05  12:27","2022-03-05  12:30","4","281","684","sbtrace","THEMIS-ASI ATHA and ELFIN-B"
"2022-03-05  12:27","2022-03-05  12:30","4","243","755","geographic","THEMIS-ASI ATHA and ELFIN-B"
"2022-03-05  13:20","2022-03-05  13:24","5","141","981","nbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2022-03-05  13:20","2022-03-05  13:24","5","136","976","sbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2022-03-05  13:20","2022-03-05  13:23","4","203","667","geographic","THEMIS-ASI FSIM and ELFIN-A"
"2022-03-05  12:25","2022-03-05  12:28","4","682","945","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2022-03-05  12:25","2022-03-05  12:28","4","692","924","geographic","THEMIS-ASI FSIM and ELFIN-B"
"2022-03-05  12:26","2022-03-05  12:28","3","708","827","sbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2022-03-05  11:48","2022-03-05  11:51","4","757","983","nbtrace","THEMIS-ASI FSMI and ELFIN-A"
"2022-03-05  11:48","2022-03-05  11:51","4","843","968","sbtrace","THEMIS-ASI FSMI and ELFIN-A"
"2022-03-05  11:48","2022-03-05  11:50","3","751","933","geographic","THEMIS-ASI FSMI and ELFIN-A"
"2022-03-05  12:25","2022-03-05  12:29","5","156","877","nbtrace","THEMIS-ASI FSMI and ELFIN-B"
"2022-03-05  12:25","2022-03-05  12:29","5","156","918","geographic","THEMIS-ASI FSMI and ELFIN-B"
"2022-03-05  12:26","2022-03-05  12:29","4","204","809","sbtrace","THEMIS-ASI FSMI and ELFIN-B"
"2022-03-05  14:52","2022-03-05  14:56","5","126","958","nbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2022-03-05  14:52","2022-03-05  14:56","5","61","915","geographic","THEMIS-ASI GAKO and ELFIN-A"
"2022-03-05  14:53","2022-03-05  14:56","4","136","727","sbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2022-03-05  13:58","2022-03-05  14:00","3","710","873","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2022-03-05  13:58","2022-03-05  14:01","4","650","904","sbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2022-03-05  13:58","2022-03-05  14:00","3","692","838","geographic","THEMIS-ASI GAKO and ELFIN-B"
"2022-03-05  10:54","2022-03-05  10:57","4","473","864","nbtrace","THEMIS-ASI GILL and ELFIN-B"
"2022-03-05  10:54","2022-03-05  10:57","4","641","928","sbtrace","THEMIS-ASI GILL and ELFIN-B"
"2022-03-05  10:54","2022-03-05  10:57","4","479","944","geographic","THEMIS-ASI GILL and ELFIN-B"
